Date,Pax,Flt,RPM,ASM,LF
1/1/03,47938280,842827,49097402,74159872,66.2
2/1/03,45412146,741610,44863907,65676314,68.31
3/1/03,55001313,856120,54341633,75346075,72.12
4/1/03,51378704,821265,49836572,70168440,71.02
5/1/03,53763186,844662,52576960,70979718,74.07
6/1/03,57621020,856576,58411157,73747096,79.2
7/1/03,62001893,894576,63838718,78318807,81.51
8/1/03,60193305,894497,62888957,78779075,79.83
9/1/03,49038004,835821,50390709,72794329,69.22
10/1/03,54865753,872580,54927858,75695437,72.56
11/1/03,51905254,819659,52150704,72587163,71.85
12/1/03,55116115,855970,56629161,76491081,74.03
1/1/04,49070727,845530,51630246,76294673,67.67
2/1/04,50248226,817440,50728516,73103808,69.39
3/1/04,59952930,895125,61243168,80195799,76.37
4/1/04,58917221,878354,60133853,78525388,76.58
5/1/04,58798390,895946,60738719,80767459,75.2
6/1/04,63364913,901172,66781050,81985822,81.45
7/1/04,66797562,940939,70913074,85826863,82.62
8/1/04,64367670,951311,68576861,86120386,79.63
9/1/04,53068030,875835,55891980,77197006,72.4
10/1/04,59797453,919950,61149590,81488607,75.04
11/1/04,57165914,878360,57680434,78279728,73.69
12/1/04,58681691,899701,60704483,82308853,73.75
1/1/05,54136166,872141,57189815,80151902,71.35
2/1/05,52574472,820306,53585374,74615745,71.82
3/1/05,65803288,935395,68083625,84944309,80.15
4/1/05,61297600,904552,63221309,82253103,76.86
5/1/05,63899130,941186,66410718,85103187,78.04
6/1/05,66847187,933236,70932197,85751565,82.72
7/1/05,70263792,961902,75327821,89605407,84.07
8/1/05,66529820,964102,71715093,88727882,80.83
9/1/05,56534166,876747,60156904,80099879,75.1
10/1/05,59611848,892282,61984902,81426057,76.12
11/1/05,58410901,856725,59881618,78288722,76.49
12/1/05,59196298,867307,62529273,82043081,76.22
1/1/06,55288976,851600,59124144,80492634,73.45
2/1/06,53055051,776504,54840660,72974894,75.15
3/1/06,65507850,894057,68788597,84624157,81.29
4/1/06,62865184,862927,66486229,82164072,80.92
5/1/06,64142247,892727,67768038,84386996,80.31
6/1/06,66922182,891734,72475640,85514388,84.75
7/1/06,69178609,928415,76017350,89296743,85.13
8/1/06,66147081,941286,72416999,89221429,81.17
9/1/06,56139524,862487,60645709,80962719,74.91
10/1/06,61370000,891323,64503000,83457331,77.29
11/1/06,60025470,854346,62082045,79733427,77.86
12/1/06,60456025,874036,64540276,83882396,76.94
1/1/07,56876804,873558,61274015,83579327,73.31
2/1/07,53845014,787368,56358256,75114669,75.03
3/1/07,66891742,902740,70864780,86798866,81.64
4/1/07,64630113,879700,68235568,84450090,80.8
5/1/07,66528541,914511,70373594,87144798,80.75
6/1/07,69447429,904960,75344370,87916781,85.7
7/1/07,72153522,941191,79282259,92191098,86
8/1/07,71087148,949167,77743296,92081881,84.43
9/1/07,58973924,869349,64235122,83679510,76.76
10/1/07,63940976,905715,67831299,86211346,78.68
11/1/07,61660337,868871,64764800,83223395,77.82
12/1/07,60591032,874306,66192270,86662629,76.38
1/1/08,57459802,864080,62915780,85109847,73.92
2/1/08,56809646,813081,60032096,80002688,75.04
3/1/08,67470330,891960,72835047,88544457,82.26
4/1/08,62972516,870504,67427762,85041112,79.29
5/1/08,65794906,891901,71231943,88014616,80.93
6/1/08,67727316,888697,74728358,89087301,83.88
7/1/08,70233341,921981,78177305,92997950,84.06
8/1/08,67596016,898759,75805618,91049571,83.26
9/1/08,54007855,788085,59753028,77962230,76.64
10/1/08,59429066,819535,63420648,80104304,79.17
11/1/08,53825243,767933,57131088,75748306,75.42
12/1/08,57134896,785484,62102823,79134193,78.48
1/1/09,51559441,776904,56828341,77942808,72.91
2/1/09,49647629,721118,52248007,71264906,73.32
3/1/09,60758974,817127,64646403,81445969,79.37
4/1/09,59331758,795925,63869329,79197800,80.65
5/1/09,59545594,812825,64525671,80911862,79.75
6/1/09,63358198,826477,70075046,83130851,84.29
7/1/09,67868072,865158,75673991,87522254,86.46
